SOC [-],OCV [V]
0.077448,3.321669076862745
0.078262,3.322309076862745
0.079081,3.323599076862745
0.079899,3.324239076862745
0.080713,3.325529076862745
0.081532,3.3261690768627448
0.082351,3.327459076862745
0.083165,3.328099076862745
0.083983,3.328749076862745
0.084802,3.3300290768627447
0.085616,3.330679076862745
0.08643,3.331959076862745
0.087249,3.3326090768627448
0.088068,3.333889076862745
0.088886,3.334539076862745
0.089705,3.335819076862745
0.090519,3.337109076862745
0.091333,3.337749076862745
0.092147,3.338399076862745
0.092961,3.339679076862745
0.09378,3.340329076862745
0.094594,3.341609076862745
0.095413,3.342259076862745
0.096227,3.343539076862745
0.097046,3.344829076862745
0.097864,3.346119076862745
0.098678,3.347399076862745
0.099493,3.348049076862745
0.100311,3.349329076862745
0.101125,3.350619076862745
0.101944,3.351909076862745
0.102758,3.352549076862745
0.103577,3.354479076862745
0.104395,3.355769076862745
0.105209,3.357049076862745
0.106028,3.358339076862745
0.106842,3.359629076862745
0.107656,3.360919076862745
0.10847,3.361559076862745
0.109289,3.362849076862745
0.110108,3.3641290768627448
0.110927,3.366059076862745
0.111745,3.366709076862745
0.112559,3.3679890768627447
0.113373,3.3692790768627447
0.114187,3.3705690768627448
0.115006,3.371849076862745
0.115825,3.3731390768627447
0.116643,3.3744290768627447
0.117462,3.375709076862745
0.118276,3.376999076862745
0.119095,3.377639076862745
0.119909,3.378929076862745
0.120728,3.380219076862745
0.121542,3.381499076862745
0.122356,3.382789076862745
0.123175,3.383429076862745
0.123993,3.384719076862745
0.124807,3.386009076862745
0.125626,3.387289076862745
0.126445,3.388579076862745
0.127259,3.389219076862745
0.128078,3.390509076862745
0.128892,3.391799076862745
0.12971,3.393079076862745
0.130529,3.393729076862745
0.131348,3.395009076862745
0.132162,3.396299076862745
0.13298,3.397589076862745
0.133794,3.398869076862745
0.134613,3.399519076862745
0.135432,3.4007990768627447
0.136251,3.4020890768627448
0.137069,3.402729076862745
0.137883,3.404019076862745
0.138702,3.405309076862745
0.139521,3.406589076862745
0.140335,3.407879076862745
0.141154,3.409169076862745
0.141968,3.409809076862745
0.142782,3.411099076862745
0.1436,3.412379076862745
0.144414,3.413029076862745
0.145229,3.414309076862745
0.146047,3.415599076862745
0.146861,3.416239076862745
0.147675,3.417529076862745
0.148489,3.418819076862745
0.149303,3.419459076862745
0.150122,3.420749076862745
0.150936,3.422029076862745
0.15175,3.422679076862745
0.152565,3.423959076862745
0.153383,3.424609076862745
0.154202,3.425249076862745
0.155016,3.426539076862745
0.15583,3.427829076862745
0.156644,3.428469076862745
0.157458,3.429759076862745
0.158277,3.430399076862745
0.159091,3.431689076862745
0.159905,3.432329076862745
0.160724,3.433619076862745
0.161538,3.434259076862745
0.162356,3.4348990768627448
0.16317,3.4361890768627448
0.163985,3.436829076862745
0.164803,3.438119076862745
0.165617,3.4387590768627447
0.166431,3.439409076862745
0.167245,3.440689076862745
0.16806,3.4413390768627448
0.168874,3.442619076862745
0.169688,3.443269076862745
0.170506,3.4439090768627447
0.171325,3.4451990768627447
0.172144,3.445839076862745
0.172958,3.446479076862745
0.173772,3.447769076862745
0.174591,3.448409076862745
0.175405,3.449059076862745
0.176223,3.450339076862745
0.177038,3.450989076862745
0.177856,3.451629076862745
0.178675,3.452919076862745
0.179494,3.453559076862745
0.180312,3.454199076862745
0.181131,3.454849076862745
0.181945,3.456129076862745
0.182759,3.456779076862745
0.183578,3.458059076862745
0.184392,3.458709076862745
0.185211,3.459349076862745
0.186029,3.460639076862745
0.186848,3.461279076862745
0.187667,3.461919076862745
0.188481,3.463209076862745
0.189299,3.463849076862745
0.190118,3.465139076862745
0.190932,3.465779076862745
0.191751,3.466429076862745
0.19257,3.4677090768627448
0.193384,3.468359076862745
0.194202,3.468999076862745
0.195021,3.470289076862745
0.195835,3.470929076862745
0.196654,3.4715690768627447
0.197473,3.472219076862745
0.198291,3.473499076862745
